ottol_name.id,ottol_name.uid,ottol_name.parent_uid,ottol_name.accepted_uid,ottol_name.preottol_taxid,ottol_name.preottol_parent_taxid,ottol_name.preottol_source,ottol_name.preottol_source_taxid,ottol_name.ncbi_taxid,ottol_name.gbif_taxid,ottol_name.namebank_taxid,ottol_name.treebase_taxid,ottol_name.name,ottol_name.unique_name,ottol_name.rank,ottol_name.comments,ottol_name.mtime
1840645,<NULL>,<NULL>,<NULL>,101439595,101370427,U4,25-5242,<NULL>,<NULL>,<NULL>,<NULL>,Androya,Androya (genus; in subfamily Hispinae),genus,<NULL>,2012-10-22 13:34:27
1840695,<NULL>,<NULL>,<NULL>,101610843,101143060,COL,,<NULL>,<NULL>,<NULL>,<NULL>,Diopatra ornata,Diopatra ornata,species,<NULL>,2012-10-22 18:13:12
1841957,<NULL>,<NULL>,<NULL>,100204513,100057850,U4,3-95540016,<NULL>,<NULL>,<NULL>,<NULL>,Adenocalymma bracteatum,Adenocalymma bracteatum,species,<NULL>,2012-10-22 18:13:12
1843163,<NULL>,<NULL>,<NULL>,100986986,100234007,COL,,<NULL>,<NULL>,<NULL>,<NULL>,Pseudofabriciola incisura,Pseudofabriciola incisura,species,<NULL>,2012-10-22 18:13:12
1847765,<NULL>,<NULL>,<NULL>,100548555,100548550,U4,3-139285016,230207,<NULL>,<NULL>,<NULL>,Balsamorhiza macrolepis platylepis,Balsamorhiza macrolepis platylepis,subspecies,<NULL>,2013-02-20 14:00:04
1848337,<NULL>,<NULL>,<NULL>,100813874,101042916,NCBI,172873,<NULL>,<NULL>,<NULL>,<NULL>,Platyphora decorata,Platyphora decorata,species,<NULL>,2012-10-22 18:13:12
1849391,<NULL>,<NULL>,<NULL>,101337454,101014510,U4,3-24227,121773,<NULL>,<NULL>,<NULL>,Kengia,Kengia,genus,<NULL>,2012-12-03 14:37:59
1849678,<NULL>,<NULL>,<NULL>,102055591,101164521,U4,3-133254016,<NULL>,<NULL>,<NULL>,<NULL>,Pachyptera kerere,Pachyptera kerere,species,<NULL>,2012-10-22 18:13:12
1854328,<NULL>,<NULL>,<NULL>,100486572,100994820,NCBI,96659,<NULL>,<NULL>,<NULL>,<NULL>,Poikilolaimus oxycercus,Poikilolaimus oxycercus,species,<NULL>,2012-10-22 18:13:12
1858169,<NULL>,<NULL>,<NULL>,101545265,101583295,U4,3-49665016,<NULL>,<NULL>,<NULL>,<NULL>,Phaseolus trilobus,Phaseolus trilobus,species,<NULL>,2012-10-22 18:13:12
1858936,<NULL>,<NULL>,<NULL>,100274103,100906047,NCBI,232288,232288,<NULL>,<NULL>,<NULL>,Telonema antarcticum,Telonema antarcticum,species,<NULL>,2012-11-16 11:38:34
1861424,<NULL>,<NULL>,<NULL>,100857397,100857396,U4,310013,<NULL>,<NULL>,<NULL>,<NULL>,Byssoascus striatisporus,Byssoascus striatisporus,species,<NULL>,2012-10-22 18:13:12
1866184,<NULL>,<NULL>,<NULL>,101770030,101770029,U4,3-142303016,<NULL>,<NULL>,<NULL>,<NULL>,Corallorhiza maculata maculata,Corallorhiza maculata maculata,subspecies,<NULL>,2012-10-22 18:13:12
1869046,<NULL>,<NULL>,<NULL>,100351612,100976935,NCBI,200322,<NULL>,<NULL>,<NULL>,<NULL>,Nicotiana digluta,Nicotiana digluta,species,<NULL>,2012-10-22 18:13:12
1869422,<NULL>,<NULL>,<NULL>,100180687,100221723,NCBI,228682,<NULL>,<NULL>,<NULL>,<NULL>,Caledonicrinus vaubani,Caledonicrinus vaubani,species,<NULL>,2012-10-22 18:13:12
1869749,<NULL>,<NULL>,<NULL>,101762511,101176213,U4,8-19155,<NULL>,<NULL>,<NULL>,<NULL>,Digitariopsis,Digitariopsis (genus; in family Astartidae),genus,<NULL>,2012-10-22 14:04:34
1871737,<NULL>,<NULL>,<NULL>,101016415,101925632,U4,511583,<NULL>,<NULL>,<NULL>,<NULL>,Thailandiomyces,Thailandiomyces,genus,<NULL>,2012-10-22 18:13:12
